Pressure(hPa),O3PartialPressure(mPa),Temperature(C),GPHeight(m)
901.12,3.529,13.2,1064
900.61,3.529,13.2,1068
900.1,3.529,13.2,1072
899.59,3.532,13.2,1077
899.06,3.531,13.2,1082
898.51,3.53,13.1,1087
897.95,3.533,13.1,1093
897.38,3.534,13.1,1098
896.8,3.534,13.1,1104
896.23,3.535,13,1110
895.67,3.533,13,1116
895.12,3.532,13,1122
894.59,3.532,12.9,1124
894.06,3.542,12.8,1129
893.52,3.548,12.8,1135
892.98,3.554,12.8,1138
892.42,3.559,12.8,1144
891.86,3.56,12.8,1151
891.29,3.56,12.8,1156
890.73,3.56,12.7,1162
890.17,3.56,12.7,1168
889.63,3.558,12.6,1173
889.1,3.555,12.6,1176
888.57,3.551,12.6,1181
888.05,3.542,12.5,1186
887.53,3.539,12.5,1192
887.02,3.539,12.5,1197
886.51,3.541,12.5,1201
886.01,3.55,12.5,1206
885.51,3.557,12.4,1210
885.01,3.557,12.4,1216
884.52,3.557,12.4,1221
884.04,3.559,12.4,1225
883.56,3.563,12.3,1229
883.06,3.567,12.3,1233
882.56,3.571,12.3,1238
882.03,3.573,12.3,1242
881.48,3.567,12.3,1248
880.91,3.561,12.3,1254
880.33,3.561,12.3,1259
879.73,3.561,12.2,1265
879.13,3.562,12.2,1271
878.53,3.562,12.2,1278
877.94,3.562,12.1,1285
877.36,3.562,12,1289
876.79,3.563,12,1294
876.23,3.565,12,1299
875.68,3.564,12,1304
875.14,3.561,11.9,1310
874.6,3.561,11.9,1315
874.08,3.558,11.9,1321
873.55,3.55,11.8,1325
873.04,3.55,11.8,1330
872.51,3.551,11.8,1334
871.98,3.55,11.8,1338
871.43,3.547,11.8,1344
870.88,3.546,11.8,1350
870.31,3.547,11.8,1356
869.74,3.548,11.8,1362
869.17,3.556,11.8,1367
868.6,3.557,11.7,1373
868.05,3.549,11.7,1378
867.49,3.548,11.7,1383
866.95,3.543,11.8,1388
866.4,3.54,11.7,1393
865.86,3.538,11.7,1399
865.33,3.537,11.7,1405
864.8,3.528,11.8,1410
864.28,3.511,11.8,1415
863.77,3.504,11.8,1419
863.26,3.503,11.8,1423
862.76,3.5,11.8,1428
862.26,3.5,11.9,1434
861.76,3.499,11.9,1439
861.27,3.499,11.9,1445
860.78,3.499,11.9,1449
860.31,3.492,11.9,1453
859.83,3.491,11.9,1458
859.35,3.491,11.9,1461
858.86,3.484,11.9,1466
858.37,3.479,11.9,1471
857.87,3.478,11.9,1477
857.37,3.467,11.9,1482
856.87,3.464,11.9,1488
856.37,3.461,11.8,1491
855.87,3.456,11.8,1496
855.37,3.449,11.7,1500
854.87,3.448,11.7,1506
854.36,3.442,11.7,1512
853.86,3.445,11.7,1517
853.36,3.448,11.6,1521
852.85,3.448,11.6,1525
852.35,3.448,11.5,1531
851.84,3.446,11.5,1536
851.33,3.443,11.5,1541
850.82,3.437,11.5,1546
850.31,3.433,11.5,1550
849.8,3.433,11.4,1556
849.29,3.421,11.3,1561
848.78,3.412,11.3,1566
848.28,3.407,11.3,1572
847.78,3.404,11.2,1576
847.29,3.403,11.2,1581
846.79,3.403,11.2,1585
846.29,3.403,11.2,1590
845.78,3.403,11.1,1595
845.27,3.399,11.1,1601
844.76,3.391,11,1606
844.25,3.384,11,1613
843.74,3.378,10.9,1616
843.24,3.373,10.9,1620
842.73,3.372,10.8,1625
842.22,3.372,10.7,1631
841.69,3.369,10.7,1635
841.14,3.362,10.7,1641
840.59,3.359,10.6,1647
840.03,3.359,10.6,1653
839.46,3.359,10.6,1659
838.9,3.359,10.5,1664
838.34,3.358,10.5,1670
837.8,3.352,10.4,1675
837.26,3.344,10.4,1681
836.74,3.334,10.4,1686
836.22,3.318,10.4,1691
835.72,3.31,10.4,1696
835.22,3.306,10.4,1701
834.72,3.305,10.4,1706
834.21,3.299,10.4,1710
833.71,3.281,10.3,1715
833.19,3.281,10.3,1720
832.65,3.281,10.3,1726
832.1,3.28,10.3,1730
831.54,3.275,10.3,1736
830.95,3.27,10.4,1744
830.36,3.266,10.4,1749
829.75,3.265,10.5,1756
829.13,3.262,10.6,1760
828.51,3.256,10.6,1767
827.89,3.224,10.6,1774
827.26,3.21,10.6,1781
826.65,3.205,10.5,1788
826.05,3.2,10.5,1793
825.46,3.196,10.5,1799
824.89,3.194,10.6,1806
824.35,3.185,10.5,1809
823.83,3.161,10.5,1817
823.34,3.152,10.4,1823
822.86,3.144,10.4,1826
822.4,3.123,10.5,1829
821.92,3.121,10.5,1833
821.42,3.11,10.4,1837
820.9,3.103,10.4,1843
820.34,3.075,10.4,1849
819.75,3.061,10.4,1855
819.14,3.056,10.3,1862
818.52,3.052,10.2,1869
817.91,3.06,10.2,1877
817.3,3.051,10.1,1883
816.71,3.047,10,1889
816.14,3.037,10,1894
815.59,3.037,10,1901
815.05,3.037,10,1905
814.5,3.049,10,1909
813.94,3.051,9.9,1914
813.37,3.033,9.9,1920
812.78,3.013,9.9,1927
812.19,3.01,9.9,1934
811.6,3.003,10,1941
811.02,3.002,10,1948
810.47,2.987,10,1954
809.94,2.967,10,1958
809.43,2.957,10,1961
808.93,2.943,9.9,1967
808.44,2.918,9.9,1972
807.94,2.898,9.9,1977
807.44,2.89,9.9,1982
806.93,2.887,9.9,1987
806.42,2.882,9.8,1993
805.92,2.88,9.8,1999
805.42,2.867,9.8,2005
804.94,2.851,9.8,2009
804.46,2.836,9.8,2014
803.99,2.826,9.8,2017
803.52,2.822,9.8,2023
803.05,2.822,9.7,2027
802.57,2.822,9.7,2033
802.08,2.815,9.7,2038
801.58,2.807,9.6,2042
801.05,2.804,9.6,2048
800.52,2.799,9.5,2053
799.96,2.792,9.5,2059
799.4,2.783,9.5,2065
798.83,2.777,9.5,2071
798.26,2.769,9.4,2079
797.71,2.753,9.4,2086
797.17,2.735,9.3,2091
796.65,2.727,9.3,2094
796.14,2.722,9.2,2100
795.64,2.714,9.2,2104
795.14,2.712,9.2,2110
794.65,2.712,9.1,2117
794.17,2.71,9.1,2121
793.68,2.705,9.1,2126
793.2,2.69,9,2129
792.7,2.674,9,2134
792.19,2.668,9,2140
791.66,2.667,9,2146
791.11,2.664,8.9,2152
790.55,2.656,8.9,2158
789.99,2.647,8.8,2164
789.42,2.637,8.8,2170
788.85,2.63,8.7,2176
788.3,2.617,8.6,2183
787.77,2.605,8.6,2188
787.25,2.592,8.5,2194
786.75,2.592,8.4,2200
786.27,2.592,8.4,2204
785.79,2.592,8.4,2207
785.3,2.587,8.4,2211
784.8,2.572,8.4,2218
784.29,2.566,8.4,2224
783.78,2.567,8.5,2230
783.27,2.563,8.5,2236
782.77,2.544,8.5,2240
782.28,2.532,8.5,2246
781.79,2.526,8.5,2251
781.32,2.526,8.5,2256
780.85,2.526,8.5,2260
780.39,2.526,8.5,2265
779.92,2.526,8.4,2270
779.45,2.526,8.4,2275
778.97,2.526,8.4,2280
778.48,2.525,8.4,2285
777.98,2.525,8.4,2291
777.49,2.525,8.4,2297
777.01,2.525,8.3,2302
776.53,2.522,8.3,2308
776.05,2.522,8.2,2311
775.57,2.522,8.2,2316
775.08,2.522,8.1,2321
774.57,2.522,8.1,2326
774.05,2.522,8.1,2331
773.5,2.523,8,2338
772.94,2.523,8,2344
772.37,2.523,8,2351
771.8,2.523,8.1,2358
771.25,2.523,8.1,2365
770.71,2.508,8.1,2370
770.18,2.494,8.1,2375
769.68,2.493,8.1,2380
769.18,2.489,8.1,2385
768.7,2.488,8.1,2390
768.22,2.486,8.1,2395
767.75,2.488,8.1,2401
767.29,2.489,8.1,2406
766.83,2.493,8.1,2411
766.37,2.497,8.1,2415
765.91,2.515,8.1,2420
765.44,2.542,8,2425
764.97,2.55,8,2430
764.48,2.55,8,2436
763.99,2.555,8,2440
763.49,2.56,8,2446
762.98,2.563,7.9,2452
762.48,2.564,7.9,2459
761.99,2.564,7.9,2463
761.49,2.567,7.9,2469
761,2.576,7.9,2473
760.5,2.592,7.9,2477
759.98,2.605,7.9,2483
759.44,2.615,8,2488
758.88,2.623,8.1,2496
758.31,2.627,8.1,2503
757.72,2.646,8.1,2509
757.13,2.668,8.1,2515
756.54,2.675,8,2522
755.96,2.678,8,2529
755.38,2.68,7.9,2536
754.82,2.682,7.8,2540
754.26,2.698,7.8,2547
753.73,2.714,7.7,2554
753.21,2.719,7.7,2560
752.72,2.73,7.6,2566
752.24,2.739,7.6,2570
751.76,2.743,7.5,2573
751.27,2.755,7.5,2577
750.77,2.768,7.5,2583
750.25,2.769,7.4,2589
749.7,2.77,7.4,2596
749.14,2.772,7.4,2603
748.58,2.779,7.3,2609
748.02,2.785,7.2,2616
747.47,2.788,7.2,2623
746.95,2.789,7.1,2629
746.44,2.79,7.1,2635
745.95,2.791,7.1,2638
745.47,2.792,7,2643
744.98,2.798,7,2648
744.49,2.81,7,2653
743.97,2.826,7,2658
743.44,2.845,7,2665
742.88,2.855,7,2672
742.31,2.857,6.9,2679
741.73,2.862,6.9,2685
741.15,2.863,6.9,2691
740.55,2.863,6.8,2698
739.96,2.863,6.8,2705
739.36,2.863,6.8,2711
738.77,2.861,6.7,2718
738.2,2.857,6.7,2724
737.63,2.854,6.7,2731
737.09,2.839,6.7,2739
736.57,2.826,6.6,2744
736.07,2.816,6.6,2749
735.58,2.817,6.5,2752
735.11,2.817,6.4,2759
734.63,2.817,6.4,2764
734.14,2.82,6.4,2768
733.64,2.849,6.3,2773
733.12,2.849,6.3,2779
732.59,2.85,6.3,2787
732.06,2.85,6.2,2794
731.53,2.85,6.2,2801
731,2.846,6.1,2805
730.48,2.845,6,2809
729.94,2.842,6,2815
729.4,2.837,6,2821
728.85,2.837,6,2828
728.29,2.837,5.9,2835
727.73,2.837,5.9,2842
727.18,2.835,5.8,2848
726.64,2.829,5.8,2854
726.11,2.82,5.7,2860
725.6,2.819,5.6,2866
725.11,2.807,5.6,2872
724.63,2.796,5.5,2877
724.17,2.795,5.5,2882
723.71,2.795,5.4,2886
723.26,2.795,5.4,2891
722.79,2.794,5.4,2896
722.32,2.792,5.3,2903
721.83,2.783,5.3,2907
721.32,2.768,5.2,2913
720.79,2.766,5.2,2918
720.25,2.764,5.1,2925
719.69,2.762,5.1,2932
719.13,2.752,5,2939
718.56,2.744,4.9,2944
718,2.741,4.9,2951
717.44,2.738,4.8,2959
716.91,2.737,4.7,2966
716.4,2.727,4.7,2972
715.9,2.716,4.6,2975
715.42,2.704,4.6,2980
714.94,2.692,4.5,2985
714.46,2.685,4.5,2991
713.97,2.683,4.5,2998
713.48,2.683,4.4,3003
712.97,2.683,4.3,3008
712.46,2.683,4.3,3014
711.93,2.684,4.2,3019
711.38,2.684,4.1,3026
710.83,2.681,4.1,3033
710.26,2.679,4.1,3040
709.67,2.679,4,3046
709.08,2.668,3.9,3052
708.47,2.654,3.8,3059
707.87,2.648,3.8,3066
707.27,2.646,3.8,3075
706.69,2.643,3.7,3083
706.14,2.641,3.6,3090
705.6,2.643,3.5,3095
705.09,2.646,3.5,3099
704.58,2.649,3.4,3103
704.07,2.65,3.4,3109
703.55,2.643,3.3,3116
703.03,2.63,3.3,3123
702.51,2.624,3.3,3130
701.99,2.637,3.2,3136
701.48,2.663,3.2,3141
700.98,2.658,3.1,3146
700.49,2.65,3,3153
700.02,2.63,3,3159
699.56,2.617,2.9,3164
699.1,2.613,2.9,3168
698.65,2.613,2.8,3174
698.21,2.613,2.8,3179
697.76,2.609,2.8,3183
697.32,2.591,2.8,3190
696.88,2.582,2.7,3194
696.44,2.582,2.6,3199
696,2.583,2.6,3203
695.55,2.582,2.5,3209
695.1,2.58,2.5,3214
694.65,2.579,2.5,3219
694.2,2.577,2.4,3226
693.75,2.574,2.4,3232
693.31,2.573,2.3,3237
692.87,2.572,2.3,3241
692.43,2.572,2.2,3245
691.98,2.572,2.2,3250
691.52,2.568,2.2,3255
691.04,2.561,2.2,3260
690.55,2.561,2.1,3267
690.05,2.561,2.1,3274
689.56,2.561,2.1,3282
689.09,2.561,2,3288
688.64,2.554,2,3293
688.2,2.554,1.9,3296
687.78,2.547,1.8,3299
687.34,2.545,1.7,3303
686.9,2.545,1.7,3310
686.44,2.545,1.7,3316
685.98,2.545,1.6,3321
685.5,2.545,1.6,3326
685.02,2.543,1.6,3333
684.55,2.543,1.5,3340
684.1,2.536,1.5,3346
683.66,2.535,1.4,3351
683.23,2.536,1.4,3354
682.8,2.531,1.3,3357
682.37,2.53,1.3,3363
681.93,2.527,1.3,3368
681.46,2.527,1.3,3374
680.97,2.527,1.2,3379
680.48,2.527,1.2,3386
679.97,2.527,1.1,3393
679.46,2.522,1.1,3399
678.95,2.512,1,3405
678.46,2.502,1,3412
677.98,2.498,0.9,3418
677.51,2.498,0.9,3422
677.04,2.498,0.8,3425
676.57,2.498,0.8,3431
676.08,2.498,0.7,3437
675.58,2.498,0.7,3444
675.08,2.498,0.6,3451
674.57,2.499,0.6,3457
674.08,2.499,0.5,3464
673.6,2.496,0.5,3470
673.13,2.496,0.4,3475
672.68,2.489,0.3,3479
672.23,2.486,0.3,3484
671.79,2.483,0.2,3489
671.35,2.481,0.2,3495
670.9,2.48,0.2,3500
670.46,2.477,0.1,3506
670.01,2.475,0.1,3511
669.56,2.478,0,3516
669.1,2.481,0,3521
668.64,2.482,0,3527
668.16,2.482,-0.1,3532
667.69,2.482,-0.1,3539
667.21,2.483,-0.1,3544
666.73,2.483,-0.2,3551
666.26,2.489,-0.2,3558
665.81,2.495,-0.3,3563
665.37,2.495,-0.4,3567
664.93,2.495,-0.4,3572
664.51,2.495,-0.4,3576
664.08,2.495,-0.5,3581
663.64,2.495,-0.5,3586
663.2,2.495,-0.5,3593
662.75,2.495,-0.5,3598
662.3,2.495,-0.5,3605
661.86,2.492,-0.5,3610
661.41,2.487,-0.5,3614
660.97,2.487,-0.5,3620
660.52,2.488,-0.5,3625
660.08,2.487,-0.6,3630
659.63,2.486,-0.6,3636
659.18,2.487,-0.6,3642
658.73,2.487,-0.7,3646
658.28,2.486,-0.7,3654
657.83,2.482,-0.7,3658
657.38,2.479,-0.8,3663
656.93,2.477,-0.8,3669
656.48,2.473,-0.8,3675
656.04,2.473,-0.8,3680
655.6,2.47,-0.9,3684
655.16,2.465,-0.9,3690
654.72,2.459,-0.9,3697
654.28,2.459,-0.9,3702
653.84,2.46,-1,3706
653.41,2.464,-1,3711
652.97,2.464,-1,3716
652.53,2.461,-1,3723
652.09,2.445,-1.1,3729
651.66,2.445,-1.1,3734
651.23,2.445,-1.1,3740
650.79,2.446,-1.1,3743
650.36,2.445,-1.1,3748
649.91,2.437,-1.2,3753
649.44,2.436,-1.2,3760
648.96,2.432,-1.2,3766
648.46,2.428,-1.3,3772
647.95,2.425,-1.3,3778
647.42,2.425,-1.4,3784
646.87,2.421,-1.4,3791
646.32,2.421,-1.5,3798
645.75,2.421,-1.5,3806
645.18,2.418,-1.5,3813
644.62,2.41,-1.5,3821
644.08,2.41,-1.5,3829
643.55,2.41,-1.6,3835
643.03,2.41,-1.6,3840
642.52,2.41,-1.7,3845
642.01,2.402,-1.7,3851
641.51,2.396,-1.7,3858
641.01,2.393,-1.7,3866
640.51,2.395,-1.7,3872
640.02,2.404,-1.8,3877
639.55,2.406,-1.8,3884
639.08,2.395,-1.8,3889
638.62,2.391,-1.8,3894
638.16,2.387,-1.8,3900
637.72,2.369,-1.8,3906
637.28,2.36,-1.8,3911
636.85,2.354,-1.8,3918
636.43,2.348,-1.8,3923
636.02,2.346,-1.8,3927
635.61,2.347,-1.8,3932
635.21,2.337,-1.7,3936
634.8,2.333,-1.7,3942
634.39,2.331,-1.7,3947
633.98,2.332,-1.6,3953
633.56,2.342,-1.6,3958
633.14,2.347,-1.6,3962
632.7,2.35,-1.7,3966
632.24,2.348,-1.6,3973
631.77,2.341,-1.6,3980
631.29,2.338,-1.6,3986
630.8,2.338,-1.6,3992
630.3,2.338,-1.6,3999
629.79,2.331,-1.5,4005
629.28,2.325,-1.5,4010
628.76,2.323,-1.5,4018
628.24,2.321,-1.5,4025
627.72,2.321,-1.5,4032
627.21,2.321,-1.5,4039
626.7,2.32,-1.5,4045
626.19,2.32,-1.5,4051
625.7,2.321,-1.5,4058
625.21,2.321,-1.5,4064
624.73,2.32,-1.6,4069
624.25,2.317,-1.6,4075
623.77,2.313,-1.6,4082
623.31,2.312,-1.6,4089
622.85,2.316,-1.6,4095
622.4,2.321,-1.7,4100
621.96,2.323,-1.8,4105
621.52,2.322,-1.8,4110
621.08,2.318,-1.8,4115
620.63,2.316,-1.9,4121
620.17,2.316,-1.9,4126
619.69,2.316,-2,4132
619.2,2.316,-2,4141
618.7,2.316,-2,4148
618.2,2.315,-2.1,4154
617.68,2.315,-2.2,4159
617.16,2.315,-2.3,4165
616.63,2.315,-2.3,4171
616.09,2.315,-2.3,4180
615.55,2.315,-2.3,4189
615.02,2.316,-2.4,4196
614.5,2.314,-2.4,4202
614,2.307,-2.4,4208
613.51,2.307,-2.5,4215
613.03,2.307,-2.5,4220
612.55,2.309,-2.5,4224
612.08,2.313,-2.6,4232
611.6,2.307,-2.6,4239
611.12,2.301,-2.6,4244
610.64,2.299,-2.6,4252
610.16,2.315,-2.6,4258
609.69,2.325,-2.7,4263
609.24,2.323,-2.7,4268
608.79,2.301,-2.8,4276
608.37,2.301,-2.8,4282
607.96,2.301,-2.8,4287
607.57,2.301,-2.8,4292
607.2,2.325,-2.8,4296
606.83,2.326,-2.7,4300
606.45,2.327,-2.6,4304
606.07,2.329,-2.5,4309
605.68,2.333,-2.4,4314
605.28,2.34,-2.3,4319
604.88,2.347,-2.3,4327
604.47,2.35,-2.2,4333
604.08,2.351,-2.2,4338
603.68,2.36,-2.2,4342
603.29,2.366,-2.2,4346
602.88,2.368,-2.2,4351
602.47,2.402,-2.1,4357
602.05,2.424,-2.1,4362
601.61,2.451,-2,4368
601.17,2.456,-2,4375
600.73,2.457,-2,4381
600.29,2.457,-2,4388
599.86,2.457,-2.1,4393
599.43,2.457,-2.2,4398
599.01,2.457,-2.2,4402
598.57,2.457,-2.2,4407
598.11,2.456,-2.2,4414
597.64,2.454,-2.1,4421
597.16,2.448,-2.1,4427
596.66,2.446,-2.1,4435
596.17,2.446,-2.1,4442
595.68,2.441,-2.1,4449
595.2,2.424,-2.1,4456
594.74,2.406,-2.1,4462
594.29,2.398,-2.2,4466
593.84,2.396,-2.2,4471
593.4,2.393,-2.2,4478
592.97,2.389,-2.2,4484
592.53,2.381,-2.2,4491
592.1,2.384,-2.2,4496
591.67,2.392,-2.2,4502
591.24,2.396,-2.2,4507
590.82,2.396,-2.3,4513
590.4,2.396,-2.3,4518
589.98,2.41,-2.4,4523
589.55,2.419,-2.4,4530
589.13,2.421,-2.4,4535
588.7,2.423,-2.5,4542
588.26,2.426,-2.5,4547
587.83,2.428,-2.6,4553
587.4,2.426,-2.6,4559
586.97,2.424,-2.7,4565
586.53,2.426,-2.7,4571
586.1,2.429,-2.8,4575
585.65,2.432,-2.8,4582
585.19,2.433,-2.8,4587
584.72,2.443,-2.9,4593
584.24,2.459,-2.9,4602
583.76,2.462,-2.9,4609
583.27,2.465,-2.9,4616
582.78,2.466,-3,4620
582.3,2.468,-3,4629
581.82,2.47,-3,4636
581.35,2.471,-3.1,4642
580.87,2.472,-3.1,4646
580.39,2.475,-3.2,4651
579.89,2.491,-3.3,4659
579.38,2.521,-3.3,4667
578.86,2.531,-3.3,4674
578.32,2.531,-3.4,4682
577.78,2.531,-3.4,4690
577.24,2.531,-3.5,4697
576.69,2.53,-3.5,4705
576.15,2.529,-3.6,4712
575.6,2.527,-3.6,4719
575.05,2.526,-3.7,4726
574.5,2.521,-3.8,4735
573.96,2.517,-3.8,4742
573.43,2.51,-3.9,4750
572.92,2.503,-3.9,4758
572.44,2.491,-3.9,4766
571.99,2.488,-4,4773
571.58,2.474,-4.1,4778
571.19,2.474,-4.1,4780
570.82,2.474,-4.2,4784
570.45,2.474,-4.2,4789
570.07,2.476,-4.2,4794
569.68,2.5,-4.2,4801
569.27,2.509,-4.3,4806
568.84,2.51,-4.3,4811
568.4,2.525,-4.3,4817
567.95,2.531,-4.4,4824
567.49,2.532,-4.4,4832
567.04,2.526,-4.5,4839
566.6,2.526,-4.5,4845
566.17,2.529,-4.6,4850
565.74,2.54,-4.6,4856
565.33,2.541,-4.6,4862
564.93,2.541,-4.7,4866
564.53,2.541,-4.7,4873
564.15,2.542,-4.8,4879
563.77,2.544,-4.8,4884
563.39,2.544,-4.8,4888
563.01,2.549,-4.8,4894
562.63,2.552,-4.8,4899
562.25,2.554,-4.8,4903
561.84,2.555,-4.8,4909
561.43,2.553,-4.8,4915
561,2.55,-4.8,4921
560.55,2.549,-4.8,4928
560.09,2.547,-4.9,4934
559.63,2.546,-4.9,4940
559.16,2.546,-5,4949
558.69,2.546,-5,4955
558.23,2.547,-5,4962
557.76,2.547,-5,4967
557.3,2.549,-5.1,4974
556.85,2.55,-5.1,4980
556.4,2.548,-5,4988
555.95,2.547,-5,4994
555.52,2.547,-5,4999
555.09,2.545,-5,5005
554.66,2.534,-5,5011
554.25,2.527,-4.9,5018
553.84,2.524,-4.8,5024
553.45,2.52,-4.7,5030
553.07,2.518,-4.6,5035
552.69,2.518,-4.5,5039
552.3,2.518,-4.4,5044
551.91,2.51,-4.3,5048
551.5,2.503,-4.2,5054
551.07,2.501,-4.1,5061
