Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37640850225672, 23.185978502256717, 79.01531395846249
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 05:59:59
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:38 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 05 59 59.00 1005.68   21.84   21.84  100.00   -0.37   -0.87    0.94   23.06    0.00       76  120.376450   23.185990    76.45 
    3.15 06 00 02.14 1005.00   21.84   21.84  100.00   -4.10   -3.14    5.17   52.54    4.13       82  120.376409   23.185979    79.02 
    5.15 06 00 04.15 1004.00   21.86   21.86  100.00   -3.30   -1.81    3.85   62.57    3.78       91  120.376375   23.185965    87.03 
    7.85 06 00 06.84 1003.00   21.87   21.87  100.00   -4.93   -0.24    4.97   87.29    3.62      100  120.376313   23.185923    96.16 
   10.31 06 00 09.30 1002.00   21.88   21.88  100.00   -3.20    0.55    4.10  113.98    3.01      108  120.376287   23.185917   102.81 
   13.32 06 00 12.32 1001.00   21.95   21.95  100.00   -1.95   -0.65    2.10   75.97    3.59      117  120.376253   23.185877   109.18 
   15.86 06 00 14.85 1000.00   22.08   22.08  100.00   -0.37   -0.32    0.49   49.81    2.98      125  120.376251   23.185851   112.44 
   18.90 06 00 17.89  999.00   22.23   22.23  100.00   -1.56   -2.15    2.67   35.94    2.75      134  120.376231   23.185792   125.96 
   21.82 06 00 20.82  998.00   22.37   22.37  100.00   -2.61   -2.92    3.94   42.86    2.65      143  120.376194   23.185735   132.65 
   24.73 06 00 23.73  997.00   22.48   22.48  100.00   -1.96   -3.63    4.24   29.81    2.92      151  120.376173   23.185665   145.60 
   27.48 06 00 26.48  996.00   22.57   22.57  100.00   -0.95   -1.67    1.92   27.94    3.18      160  120.376150   23.185615   154.17 
   30.43 06 00 29.42  995.00   22.65   22.65  100.00   -2.43   -2.79    3.87   41.92    3.25      169  120.376130   23.185561   166.09 
   33.12 06 00 32.12  994.00   22.72   22.72  100.00   -2.02   -2.79    3.48   34.64    3.33      178  120.376109   23.185516   172.91 
   36.08 06 00 35.08  993.00   22.79   22.79  100.00   -0.23   -4.24    4.27    4.03    3.09      186  120.376080   23.185448   185.25 
   38.79 06 00 37.79  992.00   22.85   22.85  100.00   -0.17   -2.10    2.11    4.32    3.19      195  120.376070   23.185404   193.96 
   41.50 06 00 40.50  991.00   22.89   22.89  100.00    1.73   -4.16    4.51  339.82    3.27      204  120.376080   23.185350   205.17 
   43.95 06 00 42.94  990.00   22.92   22.92  100.00    0.95   -2.54    2.71  339.51    3.92      213  120.376080   23.185311   212.84 
   46.84 06 00 45.84  989.00   22.97   22.97  100.00    0.75   -2.47    2.59  344.85    3.09      221  120.376090   23.185262   223.68 
   49.33 06 00 48.32  988.00   22.99   22.99  100.00    0.59   -1.18    1.42  340.16    3.12      230  120.376093   23.185220   229.01 
