Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37659421627, 23.186, 84.9865972295608
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 14:05:00
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:39 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 14 05 00.00 1002.96   35.41   22.38   47.00    0.09   -0.19    0.21  333.71    0.00       81  120.376530   23.186040    81.29 
    4.08 14 05 04.08 1002.00   35.33   22.47   47.45    4.12   -2.45    4.85  301.44    3.84       90  120.376594   23.186000    84.99 
    6.03 14 05 06.02 1001.00   35.26   21.89   45.99    5.02   -1.05    5.16  281.95    3.45       99  120.376700   23.185989    90.73 
    8.32 14 05 08.32 1000.00   35.01   21.70   46.09    6.28   -4.11    7.64  303.51    2.23      108  120.376763   23.185897   100.50 
   11.27 14 05 11.26  999.00   34.79   21.77   46.85    1.85   -0.88    2.10  287.00    2.65      117  120.376888   23.185885   106.01 
   13.61 14 05 13.61  998.00   34.59   23.01   51.09    6.07   -3.81    7.28  300.65    4.06      126  120.376997   23.185806   115.30 
   16.45 14 05 16.45  997.00   34.40   21.92   48.33    4.09   -2.36    4.79  296.64    3.66      135  120.377138   23.185756   125.46 
   19.33 14 05 19.33  996.00   34.26   21.93   48.73   10.83   -0.64   10.89  274.07    2.51      144  120.377340   23.185717   132.82 
   21.42 14 05 21.42  995.00   34.21   21.62   47.95    4.35   -1.58    4.68  290.79    4.91      153  120.377483   23.185682   140.00 
   23.83 14 05 23.83  994.00   34.01   21.62   48.50    6.83   -4.56    8.23  303.89    4.83      162  120.377598   23.185597   151.17 
   25.30 14 05 25.29  993.00   33.88   21.93   49.78    8.30   -2.49    8.67  286.77    6.14      171  120.377711   23.185551   159.93 
   27.00 14 05 27.00  992.00   33.77   21.94   50.10    4.02   -2.75    4.87  304.39    5.46      180  120.377810   23.185510   172.61 
   28.65 14 05 28.65  991.00   33.67   22.24   51.35    3.39   -3.21    4.69  312.83    5.13      189  120.377870   23.185470   182.48 
   30.60 14 05 30.59  990.00   33.52   21.35   49.02    5.23   -3.10    6.17  301.19    4.60      198  120.377950   23.185408   192.25 
   32.54 14 05 32.53  989.00   33.37   21.36   49.46    7.91   -1.15    7.99  278.31    4.81      207  120.378083   23.185375   203.69 
   34.27 14 05 34.26  988.00   33.28   21.74   50.88    5.85   -3.50    6.94  300.95    5.09      216  120.378203   23.185342   213.52 
   36.08 14 05 36.07  987.00   33.19   21.45   50.26    3.78   -5.48    6.66  325.35    6.24      225  120.378283   23.185267   223.47 
   37.91 14 05 37.91  986.00   33.06   21.39   50.44    5.55   -2.78    6.26  296.86    4.65      234  120.378366   23.185203   231.04 
   40.02 14 05 40.01  985.00   32.99   21.42   50.71    5.95   -4.31    7.34  305.89    4.17      243  120.378491   23.185139   241.51 
   42.14 14 05 42.13  984.00   32.88   21.42   51.03    6.50   -6.51    9.21  314.90    5.26      252  120.378587   23.185023   257.08 
