Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.3764389844829, 23.18607, 78.72181899423155
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 10:00:01
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:42 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 10 00 01.00 1007.30   32.58   22.28   54.70    0.53    0.17    0.56  252.21    0.00       77  120.376430   23.186070    76.88 
    0.90 10 00 01.89 1007.00   32.58   22.25   54.61    2.10   -0.34    2.13  277.05    2.65       80  120.376439   23.186070    78.72 
    3.61 10 00 04.60 1006.00   32.44   22.10   54.54    1.65   -0.81    2.59  298.85    4.01       88  120.376484   23.186074    87.25 
    6.96 10 00 07.95 1005.00   32.25   21.98   54.70   -0.20    1.02    1.05  167.73    3.10       97  120.376500   23.186080    98.16 
   10.55 10 00 11.54 1004.00   32.02   21.94   55.31    1.87    1.17    2.35  236.28    2.48      106  120.376545   23.186080   107.06 
   13.51 10 00 14.50 1003.00   31.83   21.94   55.90   -0.27   -2.18    2.26  189.63    3.05      115  120.376555   23.186060   120.00 
   16.94 10 00 17.93 1002.00   31.66   21.93   56.39   -1.82    1.10    2.24  119.68    2.47      124  120.376570   23.186069   131.66 
   20.43 10 00 21.43 1001.00   31.39   21.85   56.99    0.73   -1.91    2.05  338.82    2.49      133  120.376634   23.186051   139.45 
   24.37 10 00 25.37 1000.00   31.12   21.79   57.67    1.84   -0.39    2.51  301.87    1.82      142  120.376687   23.186034   149.12 
   28.07 10 00 29.07  999.00   30.91   21.80   58.41    4.12   -0.20    4.20  271.80    2.95      150  120.376780   23.186002   156.88 
   31.18 10 00 32.18  998.00   30.70   21.78   59.04    2.59   -4.29    5.02  328.62    2.91      159  120.376785   23.185995   165.04 
   34.26 10 00 35.25  997.00   30.50   21.74   59.58    0.95   -1.70    1.98  334.65    2.46      168  120.376850   23.185927   174.69 
   37.96 10 00 38.96  996.00   30.27   21.73   60.30    2.34    0.89    2.54  250.02    2.95      177  120.376900   23.185890   182.94 
   41.14 10 00 42.14  995.00   30.08   21.72   60.93    2.22    0.82    2.98  242.72    4.00      186  120.376993   23.185889   187.72 
   44.13 10 00 45.12  994.00   29.92   21.73   61.53    2.50    1.48    2.91  239.30    2.24      195  120.377054   23.185853   193.09 
   46.86 10 00 47.85  993.00   29.80   21.73   61.97    0.78   -3.57    3.69  295.47    3.10      204  120.377089   23.185824   199.95 
   49.13 10 00 50.12  992.00   29.69   21.72   62.31    1.59   -4.41    4.75  340.63    4.13      212  120.377124   23.185775   209.60 
   50.89 10 00 51.88  991.00   29.61   21.71   62.58    2.51   -2.71    3.70  317.13    5.57      221  120.377177   23.185722   220.43 
   52.83 10 00 53.83  990.00   29.51   21.69   62.88   -2.10   -3.72    4.58   78.49    3.97      230  120.377202   23.185693   229.56 
   55.09 10 00 56.08  989.00   29.43   21.67   63.10    3.58   -4.42    5.77  321.04    4.02      239  120.377231   23.185626   239.34 
