Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37642858807301, 23.186060705963488, 74.14185038339127
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 13:00:01
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:36 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 13 00 01.00 1004.50   36.08   22.49   45.60   -0.56   -0.56    0.79   45.38    0.00       70  120.376410   23.186070    70.48 
    0.93 13 00 01.92 1004.00   36.06   22.31   45.14    2.29   -1.07    2.60  276.39    4.54       75  120.376429   23.186061    74.14 
    2.65 13 00 03.64 1003.00   35.92   22.10   44.90    4.29   -3.27    5.40  306.71    5.74       84  120.376466   23.186014    82.32 
    4.05 13 00 05.05 1002.00   35.80   21.99   44.91    0.66   -0.94    1.23  310.10    6.41       93  120.376501   23.185996    84.82 
    6.96 13 00 07.96 1001.00   35.55   21.91   45.30   12.03   -5.35   13.17  293.97    3.01      102  120.376746   23.185812    91.47 
   10.09 13 00 11.09 1000.00   35.23   21.80   45.82    5.90   -1.65    6.13  285.66    1.74      111  120.376854   23.185758   103.49 
   13.15 13 00 14.14  999.00   34.97   21.81   46.51    7.71   -5.36    9.39  304.60    3.23      120  120.377007   23.185636   111.76 
   15.83 13 00 16.83  998.00   34.69   21.75   47.07    6.95   -5.01    8.57  306.10    3.22      129  120.377122   23.185557   121.01 
   18.87 13 00 19.87  997.00   34.38   21.71   47.77    3.89   -3.56    5.29  311.64    2.81      138  120.377226   23.185463   128.09 
   21.31 13 00 22.31  996.00   34.11   21.68   48.39    5.50   -2.12    7.44  292.67    3.74      147  120.377319   23.185368   143.51 
   23.93 13 00 24.93  995.00   33.88   21.67   48.99    3.33   -7.57    8.27  336.05    3.05      156  120.377398   23.185273   157.57 
   26.17 13 00 27.17  994.00   33.67   21.63   49.45    3.95   -6.64    7.73  329.17    4.57      165  120.377465   23.185205   165.41 
   28.61 13 00 29.60  993.00   33.45   21.62   50.02    3.05   -4.04    5.06  323.25    2.91      174  120.377552   23.185116   176.46 
   31.35 13 00 32.35  992.00   33.26   21.62   50.57    5.45   -5.33    7.79  314.38    3.52      183  120.377601   23.184996   188.10 
   33.40 13 00 34.39  991.00   33.09   21.59   50.98    1.38   -6.14    6.32  346.43    4.74      192  120.377672   23.184908   197.62 
   35.42 13 00 36.42  990.00   32.89   21.59   51.53   -0.08   -6.24    6.60  201.68    4.30      201  120.377716   23.184835   208.70 
   37.82 13 00 38.82  989.00   32.71   21.56   51.96    1.02   -2.47    2.67  337.27    4.28      210  120.377735   23.184752   218.74 
   39.94 13 00 40.93  988.00   32.52   21.52   52.39    3.86   -6.65    7.70  329.90    4.16      219  120.377818   23.184664   225.33 
   42.36 13 00 43.35  987.00   32.35   21.52   52.91    2.20   -4.00    4.64  327.53    3.51      228  120.377877   23.184586   235.41 
