Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37645, 23.18597, 74.79827819152216
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 08:00:00
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:44 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 08 00 00.00 1007.38   31.63   23.73   63.00    0.12   -0.33    0.35  340.38    0.00       75  120.376450   23.185970    74.72 
    1.43 08 00 01.43 1007.00   31.59   23.61   62.72    0.18   -0.50    0.53  340.38    2.89       78  120.376450   23.185970    74.80 
    2.80 08 00 02.79 1006.00   31.45   23.24   61.78    0.47   -1.33    1.41  340.38    6.97       87  120.376458   23.185954    81.28 
    4.47 08 00 04.47 1005.00   31.21   23.03   61.84    1.03   -2.92    3.09  340.48    5.21       96  120.376465   23.185946    93.08 
    6.21 08 00 06.20 1004.00   30.94   22.94   62.48   -0.74   -4.63    5.00   14.72    4.77      105  120.376456   23.185890   102.89 
    8.04 08 00 08.04 1003.00   30.66   22.85   63.12    4.32    2.72    5.11  238.11    3.70      113  120.376461   23.185920   112.44 
    9.92 08 00 09.91 1002.00   30.36   22.76   63.87    1.34    0.39    1.40  253.66    4.21      122  120.376508   23.185930   125.24 
   11.33 08 00 11.33 1001.00   30.14   22.70   64.47   -1.57   -3.14    3.76   33.88    6.36      131  120.376497   23.185900   134.06 
   12.79 08 00 12.79 1000.00   29.90   22.64   65.12   -2.68    3.03    4.39  129.53    5.88      140  120.376474   23.185896   144.88 
   14.37 08 00 14.36  999.00   29.66   22.61   65.88    0.32   -0.89    1.10  216.27    5.55      149  120.376464   23.185903   157.97 
   15.95 08 00 15.94  998.00   29.44   22.59   66.67    0.66   -4.27    4.32  350.97    5.73      158  120.376479   23.185862   167.56 
   17.44 08 00 17.43  997.00   29.21   22.52   67.27    0.31    0.67    0.74  204.59    6.01      166  120.376480   23.185854   174.36 
   19.05 08 00 19.05  996.00   28.99   22.50   68.03   -2.02   -0.14    2.09   85.28    4.92      175  120.376459   23.185859   186.32 
   20.58 08 00 20.58  995.00   28.77   22.46   68.73    0.22   -2.22    2.38  206.41    5.61      184  120.376456   23.185838   196.88 
   22.40 08 00 22.40  994.00   28.56   22.44   69.52    2.35   -3.91    4.59  330.23    4.73      193  120.376492   23.185788   205.69 
   24.48 08 00 24.47  993.00   28.32   22.30   69.89    1.29   -3.89    4.10  341.95    4.26      202  120.376545   23.185706   215.50 
   26.16 08 00 26.16  992.00   28.11   22.28   70.68   -1.31   -2.03    2.41   32.74    5.23      210  120.376537   23.185670   220.78 
   27.89 08 00 27.88  991.00   27.90   22.20   71.19   -0.49   -1.42    1.51   19.25    4.49      219  120.376520   23.185661   228.46 
   29.87 08 00 29.87  990.00   27.68   21.94   70.99    2.76   -4.75    5.50  330.01    4.57      228  120.376557   23.185595   236.37 
   31.48 08 00 31.47  989.00   27.51   21.83   71.20    1.20   -1.85    2.21  327.14    5.45      237  120.376595   23.185560   242.86 
