Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37646635053585, 23.18601, 79.7679221725106
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 08:59:59
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:44 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 08 59 59.00 1007.39   30.99   23.38   64.00    0.28    0.13    0.31  246.00    0.00       78  120.376470   23.186010    78.39 
    2.64 09 00 01.63 1007.00   30.99   23.41   64.08    1.32   -0.61    1.55  260.12    2.73       82  120.376466   23.186010    79.77 
    4.43 09 00 03.43 1006.00   30.88   23.21   63.70    3.06   -2.20    4.19  307.08    5.14       91  120.376509   23.185991    86.88 
    6.53 09 00 05.52 1005.00   30.72   23.52   65.55    4.88   -3.38    5.99  303.68    4.06      100  120.376576   23.185940    96.44 
    8.18 09 00 07.17 1004.00   30.62   23.04   64.02   -1.87   -4.08    4.49   24.35    5.69      108  120.376592   23.185916   102.76 
    9.60 09 00 08.59 1003.00   30.50   22.98   64.22    0.59   -4.33    4.56  212.92    5.99      117  120.376618   23.185888   110.75 
   11.27 09 00 10.27 1002.00   30.35   22.94   64.65    3.34   -4.36    5.57  324.19    5.13      126  120.376684   23.185839   118.95 
   13.57 09 00 12.57 1001.00   30.18   22.91   65.11    1.22   -0.91    1.52  306.78    4.09      135  120.376756   23.185780   127.10 
   15.52 09 00 14.51 1000.00   29.99   22.84   65.61    0.77   -4.19    4.31  177.08    4.37      144  120.376755   23.185739   134.03 
   17.13 09 00 16.12  999.00   29.84   23.23   67.76    1.34   -4.27    4.66  298.51    6.08      153  120.376799   23.185699   140.51 
   18.95 09 00 17.95  998.00   29.72   22.78   66.39    1.02   -3.02    3.26  323.96    4.16      161  120.376800   23.185671   147.15 
   20.25 09 00 19.24  997.00   29.59   22.83   67.05    3.04   -1.92    4.61  295.30    6.99      170  120.376822   23.185652   158.15 
   21.48 09 00 20.47  996.00   29.51   22.75   67.04    2.29    2.09    3.14  230.95    7.06      179  120.376830   23.185665   167.34 
   22.98 09 00 21.97  995.00   29.38   22.71   67.40    1.36    2.04    2.46  213.80    5.66      188  120.376810   23.185660   178.67 
   24.77 09 00 23.76  994.00   29.24   22.67   67.75   -0.24   -4.19    4.21   87.64    4.50      197  120.376802   23.185592   187.31 
   26.52 09 00 25.51  993.00   29.10   22.63   68.15   -1.96   -2.88    4.06  200.19    5.39      206  120.376800   23.185550   197.03 
   28.50 09 00 27.50  992.00   28.93   22.54   68.45   -2.54   -2.82    3.85   39.06    3.85      214  120.376805   23.185510   206.73 
   30.61 09 00 29.61  991.00   28.79   22.54   68.98   -1.79   -4.77    5.10   20.45    4.59      223  120.376818   23.185465   218.44 
   33.12 09 00 32.11  990.00   28.58   22.48   69.62    0.19   -1.61    1.71  307.98    2.77      232  120.376809   23.185439   228.79 
