Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37648216115468, 23.18604783884533, 111.98359586609637
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 10:59:59
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:43 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 10 59 59.00 1005.95   35.99   21.94   44.30   -0.40    0.30    0.49  126.63    0.00       83  120.376450   23.186030    83.18 
    3.39 11 00 02.39 1005.00   35.57   21.90   45.22   -3.14   -0.70    3.47   78.73    5.80       92  120.376482   23.186048   111.98 
    4.84 11 00 03.84 1004.00   35.38   21.79   45.40   -4.51   -0.60    4.60   83.76    5.78      101  120.376445   23.186043   119.20 
    6.97 11 00 05.97 1003.00   35.08   21.70   45.89    0.71   -3.25    3.33  337.04    5.48      110  120.376459   23.185980   126.65 
    8.51 11 00 07.50 1002.00   34.88   21.68   46.35   -0.47   -2.30    2.50  185.10    5.89      119  120.376460   23.185990   132.94 
    9.98 11 00 08.97 1001.00   34.69   21.66   46.79   -6.51   -1.87    6.80   73.33    6.13      128  120.376401   23.185970   140.62 
   11.26 11 00 10.25 1000.00   34.50   21.62   47.18   -2.63   -2.18    3.42   50.33    7.07      137  120.376355   23.185937   150.53 
   12.43 11 00 11.42  999.00   34.34   21.61   47.57   -0.84   -0.70    1.10   50.33    7.67      146  120.376336   23.185934   160.04 
   13.64 11 00 12.63  998.00   34.14   21.57   47.99   -1.32   -1.09    1.71   50.33    7.36      155  120.376317   23.185946   168.79 
   14.94 11 00 13.94  997.00   33.98   21.55   48.38   -1.22   -2.13    2.47   30.10    6.79      163  120.376310   23.185941   176.00 
   16.39 11 00 15.39  996.00   33.77   21.51   48.82   -2.14   -6.43    6.98   18.54    6.19      172  120.376298   23.185870   183.49 
   17.69 11 00 16.68  995.00   33.58   21.47   49.21   -4.82   -2.96    5.91   60.15    7.07      181  120.376246   23.185819   190.84 
   19.24 11 00 18.23  994.00   33.38   21.44   49.70   -4.01    3.52    5.33  131.80    5.37      190  120.376175   23.185837   198.96 
   20.83 11 00 19.83  993.00   33.16   21.43   50.25    0.28    2.27    2.45  184.80    5.67      199  120.376168   23.185852   207.00 
   22.58 11 00 21.58  992.00   32.97   21.46   50.88   -0.06   -5.26    5.38  152.29    5.30      208  120.376180   23.185787   215.89 
   23.98 11 00 22.97  991.00   32.80   21.43   51.29   -4.88   -0.65    5.00   82.00    6.69      217  120.376141   23.185760   223.92 
   25.43 11 00 24.42  990.00   32.63   21.40   51.69   -1.38   -1.24    2.08   59.63    6.31      226  120.376119   23.185741   232.82 
   26.87 11 00 25.86  989.00   32.49   21.39   52.06    2.44   -3.38    4.40  280.68    5.90      235  120.376147   23.185713   240.78 
   28.35 11 00 27.34  988.00   32.34   21.45   52.70    0.86   -2.53    2.85  213.46    6.04      244  120.376157   23.185680   248.41 
