Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37646000000001, 23.185978828328142, 84.8436781724867
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 07:00:01
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:40 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
    0.00 07 00 01.00 1006.52   23.84   22.67   93.20    0.45   -0.06    0.46  277.37    0.00       84  120.376460   23.185970    84.24 
    2.12 07 00 03.11 1006.00   23.83   22.66   93.20    0.58    0.90    1.42  207.91    3.14       89  120.376460   23.185979    84.84 
    4.97 07 00 05.96 1005.00   23.81   22.63   93.10    1.30   -0.15    1.31  277.04    3.49       97  120.376450   23.185960    92.73 
    6.93 07 00 07.92 1004.00   23.81   22.61   93.00   -1.86   -1.95    2.86   71.73    4.73      106  120.376450   23.185940    99.24 
   10.02 07 00 11.02 1003.00   23.80   22.35   91.60   -2.23    0.06    2.27   91.88    3.54      115  120.376400   23.185920   106.87 
   13.39 07 00 14.39 1002.00   23.83   22.19   90.52   -2.19   -1.05    2.43   64.07    2.73      123  120.376356   23.185892   115.62 
   16.45 07 00 17.45 1001.00   23.88   22.27   90.74   -2.50   -1.61    3.26   58.26    2.83      132  120.376305   23.185870   125.69 
   19.63 07 00 20.63 1000.00   23.94   22.41   91.16   -1.16   -0.67    1.34   58.38    2.41      141  120.376267   23.185850   133.09 
   22.52 07 00 23.51  999.00   24.02   22.58   91.65   -3.11   -1.11    3.49   71.32    3.05      149  120.376255   23.185835   142.35 
   25.51 07 00 26.51  998.00   24.10   22.69   91.89   -1.60   -1.72    2.44   44.37    3.17      158  120.376225   23.185810   151.79 
   28.48 07 00 29.47  997.00   24.17   22.62   91.06   -2.60   -1.54    3.04   62.03    2.96      167  120.376195   23.185790   161.81 
   31.27 07 00 32.27  996.00   24.24   22.57   90.42   -1.04   -1.28    1.72   36.70    3.17      176  120.376177   23.185770   170.76 
   34.33 07 00 35.32  995.00   24.34   22.56   89.80   -0.07   -2.17    2.18  118.28    2.55      184  120.376167   23.185737   178.55 
   37.44 07 00 38.44  994.00   24.45   22.54   89.11   -1.97   -2.03    3.38   46.58    2.61      193  120.376144   23.185716   189.39 
   40.55 07 00 41.55  993.00   24.53   22.50   88.43    0.64   -2.51    2.68  148.45    3.06      202  120.376150   23.185674   196.61 
   43.78 07 00 44.77  992.00   24.61   22.48   87.99   -1.15   -2.83    3.40  101.66    2.56      211  120.376150   23.185648   207.29 
   47.11 07 00 48.10  991.00   24.63   22.41   87.49   -0.21   -0.90    0.94   59.59    2.64      220  120.376141   23.185618   215.79 
   50.03 07 00 51.03  990.00   24.64   22.37   87.20   -1.99   -2.99    3.59   33.76    3.00      228  120.376140   23.185599   223.61 
   53.05 07 00 54.05  989.00   24.68   22.37   86.98    0.27   -3.33    3.43  337.71    3.09      237  120.376129   23.185560   232.30 
