Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
   66.03 12 01 03.03  966.00   30.24   21.17   58.40    1.60   -2.32    2.84  327.49    8.12      442  120.378552   23.185098   435.01 
   67.38 12 01 04.38  965.00   30.16   21.14   58.54    8.25   -5.90   10.15  304.86    7.80      451  120.378621   23.185046   443.86 
   69.00 12 01 06.00  964.00   30.06   21.11   58.78    2.38   -3.07    3.97  322.01    5.31      460  120.378662   23.185030   453.89 
   70.44 12 01 07.44  963.00   29.96   21.09   59.04    5.49   -4.76    8.25  310.71    5.46      470  120.378697   23.184962   463.51 
   71.88 12 01 08.87  962.00   29.89   21.07   59.19    5.15   -0.26    5.17  272.35    6.83      479  120.378783   23.184949   472.59 
   74.00 12 01 11.00  961.00   29.79   21.01   59.32    5.77   -4.85    7.72  308.32    6.98      488  120.378848   23.184920   481.42 
   74.96 12 01 11.96  960.00   29.68   20.95   59.50    8.93   -4.53   10.09  296.92    5.39      497  120.378957   23.184812   490.37 
   76.37 12 01 13.36  959.00   29.58   20.94   59.77    3.22    0.25    3.23  266.56    6.33      506  120.379027   23.184796   500.49 
   78.04 12 01 15.04  958.00   29.49   20.94   60.10    2.73    0.19    2.84  262.43    5.56      515  120.379062   23.184789   509.69 
   79.37 12 01 16.37  957.00   29.37   20.87   60.27    5.65   -5.10    7.64  312.53    7.04      524  120.379132   23.184741   518.64 
   80.55 12 01 17.55  956.00   29.29   20.86   60.51    3.57   -3.40    4.97  311.28    7.62      533  120.379187   23.184704   529.02 
   82.24 12 01 19.23  955.00   29.19   20.83   60.75    5.52    2.80    6.20  244.20    4.90      542  120.379262   23.184730   538.96 
   83.67 12 01 20.67  954.00   29.09   20.81   61.03    4.90   -3.54    6.46  292.76    6.46      552  120.379327   23.184710   548.63 
   84.96 12 01 21.95  953.00   29.01   20.78   61.20    4.20   -2.76    5.03  303.00    7.26      561  120.379388   23.184662   558.29 
   86.27 12 01 23.26  952.00   28.92   20.76   61.43    3.12   -1.44    3.44  294.62    6.99      570  120.379433   23.184657   566.72 
   87.62 12 01 24.61  951.00   28.85   20.76   61.68    4.31   -2.25    4.87  299.38    6.63      579  120.379488   23.184632   574.28 
   89.34 12 01 26.34  950.00   28.74   20.72   61.93    4.49   -0.40    4.61  281.98    5.07      588  120.379544   23.184613   583.59 
   91.09 12 01 28.08  949.00   28.65   20.69   62.13    4.64   -3.04    5.78  304.26    5.10      597  120.379652   23.184606   593.59 
   92.52 12 01 29.52  948.00   28.57   20.70   62.45    0.53   -4.03    4.11  349.87    6.35      606  120.379675   23.184565   602.01 
   94.12 12 01 31.12  947.00   28.47   20.65   62.62    5.95   -0.27    6.22  271.82    5.53      616  120.379736   23.184556   612.47 
   95.48 12 01 32.47  946.00   28.38   20.63   62.90    3.89   -3.77    5.42  313.95    6.82      625  120.379799   23.184525   621.12 
   96.78 12 01 33.77  945.00   28.27   20.62   63.23    2.47   -0.82    2.68  287.77    7.00      634  120.379836   23.184528   630.40 
   98.08 12 01 35.07  944.00   28.16   20.59   63.52    3.76    0.79    4.01  254.40    7.03      643  120.379875   23.184539   641.56 
   99.60 12 01 36.60  943.00   28.04   20.57   63.92    7.58   -4.11    8.64  298.56    5.95      652  120.379978   23.184506   651.07 
  101.10 12 01 38.09  942.00   27.93   20.54   64.22    2.15   -1.63    2.70  307.02    6.16      661  120.380041   23.184459   660.69 
  102.76 12 01 39.76  941.00   27.84   20.53   64.48    3.12    1.09    3.42  260.73    6.03      670  120.380065   23.184458   670.65 
  104.27 12 01 41.27  940.00   27.74   20.54   64.88    3.27   -3.84    5.34  319.92    6.08      680  120.380103   23.184429   679.84 
  105.71 12 01 42.71  939.00   27.66   20.52   65.10    5.36   -1.40    6.68  292.42    6.10      689  120.380139   23.184386   689.85 
  107.09 12 01 44.08  938.00   27.58   20.48   65.32    4.49   -1.95    5.24  292.53    6.94      698  120.380212   23.184367   698.33 
  108.67 12 01 45.67  937.00   27.48   20.48   65.63    0.89   -5.18    5.27  349.40    5.96      707  120.380237   23.184296   708.77 
  109.97 12 01 46.97  936.00   27.39   20.45   65.89    0.83   -0.72    1.12  307.86    7.35      716  120.380250   23.184261   719.41 
  111.31 12 01 48.30  935.00   27.32   20.42   66.06    3.11   -1.99    4.38  294.90    6.92      726  120.380279   23.184251   730.61 
  112.71 12 01 49.70  934.00   27.22   20.40   66.34    0.97   -4.66    4.79  349.27    6.35      735  120.380307   23.184195   741.18 
  114.00 12 01 50.99  933.00   27.16   20.38   66.50    4.26    2.19    4.81  243.02    7.54      744  120.380340   23.184180   750.18 
  115.31 12 01 52.30  932.00   27.10   20.39   66.76    1.27   -4.14    5.03  238.00    7.12      753  120.380367   23.184151   760.49 
  116.60 12 01 53.60  931.00   27.02   20.37   67.02   -2.71   -0.75    3.42   80.17    7.03      763  120.380360   23.184130   769.97 
  118.16 12 01 55.15  930.00   26.96   20.37   67.23    3.33    2.41    4.95  236.04    5.76      772  120.380406   23.184137   778.75 
  119.57 12 01 56.57  929.00   26.89   20.35   67.46    2.63   -4.16    5.06  329.17    6.54      781  120.380446   23.184097   787.80 
  120.85 12 01 57.84  928.00   26.84   20.36   67.67   -2.42   -1.69    3.55  110.23    7.55      791  120.380425   23.184063   796.79 
  122.13 12 01 59.13  927.00   26.74   20.30   67.83    2.23    0.20    2.59  268.54    7.13      800  120.380423   23.184053   806.75 
  123.22 12 02 00.21  926.00   26.67   20.29   68.04    1.83    1.81    4.52  231.42    8.58      809  120.380446   23.184068   815.73 
  124.51 12 02 01.51  925.00   26.57   20.27   68.35    3.14   -5.92    6.70  332.29    7.06      818  120.380485   23.184029   825.31 
  126.16 12 02 03.15  924.00   26.47   20.26   68.73    1.29   -3.70    3.92  340.39    5.14      828  120.380492   23.183957   833.97 
  127.56 12 02 04.55  923.00   26.38   20.24   69.01    1.21   -3.36    3.58  339.20    6.70      837  120.380506   23.183923   843.16 
  128.93 12 02 05.92  922.00   26.30   20.25   69.38    0.19   -0.63    0.66  343.44    6.74      846  120.380519   23.183891   852.70 
  130.16 12 02 07.15  921.00   26.25   20.23   69.53    4.50   -1.01    5.06  283.70    7.64      855  120.380553   23.183884   860.98 
  131.78 12 02 08.78  920.00   26.17   20.22   69.78    0.35   -3.12    3.19   75.70    5.54      865  120.380570   23.183850   871.90 
  133.24 12 02 10.23  919.00   26.11   20.19   69.92    2.97   -3.78    4.89  320.19    6.55      874  120.380595   23.183830   881.37 
  134.76 12 02 11.76  918.00   26.02   20.16   70.15    1.96   -3.81    4.29  331.97    6.26      883  120.380633   23.183777   890.59 
  136.12 12 02 13.11  917.00   25.97   20.15   70.32    0.96   -1.32    1.64  323.11    7.03      893  120.380661   23.183768   899.36 
  137.64 12 02 14.63  916.00   25.87   20.13   70.63    2.50   -4.86    5.48  332.51    5.95      902  120.380683   23.183718   908.62 
  138.93 12 02 15.93  915.00   25.81   20.13   70.89    1.93   -2.97    3.55  326.59    7.71      912  120.380718   23.183672   917.22 
