id,name
1,介壽村
2,復興村、福沃村
3,清水村、珠螺村
4,仁愛村、津沙村、馬祖村、四維村
5,塘岐村、后沃村
6,橋仔村、芹壁村、坂里村、白沙村
7,青帆村、田沃村、西坵村
8,福正村、大坪村
9,中柳村、樂華村
10,玉田村
11,塔樓村
12,潮厝村
13,大平村
14,永春村
15,春林村
16,過江村
17,鐵店村
18,茄苳村
19,載興村
20,土庫村
21,三廍村
22,中和村
23,瀰力村
24,高樹村
25,長榮村
26,東興村
27,東振村
28,源泉村
29,建興村
30,大埔村
31,菜寮村
32,司馬村
33,舊寮村
34,新豐村
35,泰山村
36,南華村
37,廣福村
38,廣興村
39,舊庄村
40,田子村
41,鹽樹村
42,新南村
43,大社村
44,德文村
45,達來村
46,三地村
47,賽嘉村
48,口社村
49,馬兒村
50,安坡村
51,青山村
52,青葉村
53,霧台村
54,吉露村
55,阿禮村
56,好茶村
57,佳暮村
58,大武村
59,瑪家村
60,北葉村
61,三和村
62,凉山村
63,佳義村
64,排灣村
65,九清村
66,九塊村
67,九明村
68,大坵村
69,玉水村
70,玉泉村
71,東寧村
72,三塊村
73,耆老村
74,後庄村
75,洽興村
76,鹽北村
77,鹽中村
78,鹽南村
79,仕絨村
80,高朗村
81,振興村
82,久愛村
83,新圍村
84,新二村
85,彭厝村
86,洛陽村
87,永隆村
88,進興村
89,新潭村
90,潭頭村
91,香楊村
92,長興村
93,崙上村
94,德榮村
95,德和村
96,復興村
97,德成村
98,德協村
99,繁昌村
100,繁榮村
101,繁隆村
102,繁華村
103,榮華村
104,新田村
105,麟頂村
106,麟蹄村
107,麟趾村
108,田中村
109,田心村
110,田道村
111,大同里
112,光榮里
113,大埔里
114,維新里
115,楠樹里
116,金泉里
117,橋南里
118,橋北里
119,大連里
120,豐年里
121,豐田里
122,豐榮里
123,豐源里
124,長春里
125,瑞光里
126,湖南里
127,湖西里
128,歸心里
129,清溪里
130,大武里
131,崇武里
132,前進里
133,永光里
134,長安里
135,大洲里
136,安鎮里
137,公館里
138,新興里
139,新生里
140,頂宅里
141,頂柳里
142,大湖里
143,龍華里
144,玉成里
145,建國里
146,厚生里
147,一心里
148,義勇里
149,永安里
150,崇陽里
151,崇蘭里
152,潭墘里
153,永城里
154,空翔里
155,廣興里
156,勝利里
157,斯文里
158,華山里
159,溝美里
160,公園里
161,仁愛里
162,北興里
163,北勢里
164,中正里
165,三山里
166,海豐里
167,仁義里
168,信和里
169,和興里
170,內埔村
171,內田村
172,興南村
173,義亭村
174,美和村
175,和興村
176,豐田村
177,振豐村
178,富田村
179,竹圍村
180,東勢村
181,東片村
182,上樹村
183,老埤村
184,中林村
185,龍泉村
186,龍潭村
187,大新村
188,黎明村
189,隘寮村
190,水門村
191,香社村
192,新庄村
193,新鐘村
194,水仙村
195,興全村
196,興安村
197,甘棠村
198,萬惠村
199,萬全村
200,萬後村
201,萬安村
202,萬生村
203,寶厝村
204,四維村
205,竹林村
206,水泉村
207,田厝村
208,崙頂村
209,厦北村
210,厦南村
211,後村村
212,灣內村
213,上村村
214,加興村
215,社口村
216,磚寮村
217,社皮村
218,社中村
219,社上村
220,廣安村
221,佳平村
222,武潭村
223,平和村
224,佳興村
225,泰武村
226,竹田村
227,竹南村
228,糶糴村
229,履豐村
230,頭崙村
231,二崙村
232,美崙村
233,南勢村
234,西勢村
235,福田村
236,永豐村
237,六巷村
238,泗洲村
239,大湖村
240,鳳明村
241,萬巒村
242,萬和村
243,鹿寮村
244,硫黃村
245,泗溝村
246,五溝村
247,成德村
248,赤山村
249,萬金村
250,佳佐村
251,佳和村
252,新厝村
253,新置村
254,潮州里
255,光華里
256,同榮里
257,彭城里
258,三星里
259,三共里
260,三和里
261,九塊里
262,新榮里
263,五魁里
264,蓬萊里
265,八爺里
266,永春里
267,富春里
268,光春里
269,興美里
270,檨子里
271,泗林里
272,四春里
273,崙東里
274,瓦磘村
275,仙吉村
276,田洋村
277,港墘村
278,內庄村
279,新東村
280,新園村
281,港西村
282,烏龍村
283,興龍村
284,中洲村
285,南龍村
286,五房村
287,鹽埔村
288,共和村
289,崁頂村
290,園寮村
291,力社村
292,圍內村
293,洲子村
294,北勢村
295,越溪村
296,港東村
297,溪洲村
298,溪南村
299,七塊村
300,萬華村
301,仁里村
302,溪北村
303,米崙村
304,壽元村
305,同安村
306,南安村
307,新埤村
308,建功村
309,打鐵村
310,南豐村
311,萬隆村
312,餉潭村
313,箕湖村
314,來義村
315,義林村
316,丹林村
317,古樓村
318,文樂村
319,望嘉村
320,南和村
321,新勝里
322,頂中里
323,內關帝里
324,東新里
325,新街里
326,東光里
327,興農里
328,福德里
329,朝安里
330,東隆里
331,豐漁里
332,盛漁里
333,興漁里
334,鎮海里
335,嘉蓮里
336,南平里
337,東津里
338,船頭里
339,下廍里
340,大潭里
341,興和里
342,共和里
343,林邊村
344,光林村
345,永樂村
346,仁和村
347,崎峯村
348,水利村
349,鎮安村
350,佳冬村
351,六根村
352,賴家村
353,萬建村
354,石光村
355,玉光村
356,昌隆村
357,豐隆村
358,大同村
359,羌園村
360,燄溫村
361,塭豐村
362,枋寮村
363,新龍村
364,保生村
365,中寮村
366,安樂村
367,隆山村
368,天時村
369,地利村
370,人和村
371,內寮村
372,新開村
373,東海村
374,大庄村
375,太源村
376,春日村
377,古華村
378,士文村
379,七佳村
380,歸崇村
381,力里村
382,枋山村
383,加祿村
384,楓港村
385,善餘村
386,內文村
387,草埔村
388,丹路村
389,楓林村
390,竹坑村
391,獅子村
392,內獅村
393,南世村
394,石門村
395,牡丹村
396,東源村
397,旭海村
398,高士村
399,四林村
400,海口村
401,福興村
402,福安村
403,統埔村
404,溫泉村
405,保力村
406,新街村
407,埔墘村
408,射寮村
409,後灣村
410,滿州村
411,里德村
412,响林村
413,永靖村
414,港口村
415,長樂村
416,九棚村
417,港仔村
418,城南里
419,城北里
420,城西里
421,網紗里
422,仁壽里
423,茄湖里
424,頭溝里
425,四溝里
426,德和里
427,龍水里
428,山海里
429,大光里
430,水泉里
431,山腳里
432,南灣里
433,墾丁里
434,鵝鑾里
435,本福村
436,中福村
437,漁福村
438,大福村
439,南福村
440,天福村
441,上福村
442,杉福村
443,後壁里
444,侯伯里
445,嘉苳里
446,土溝里
447,上茄苳里
448,菁豐里
449,菁寮里
450,新嘉里
451,長短樹里
452,竹新里
453,新東里
454,頂安里
455,福安里
456,白河里
457,外角里
458,庄內里
459,秀祐里
460,河東里
461,虎山里
462,大林里
463,崁頭里
464,六溪里
465,關嶺里
466,仙草里
467,詔豐里
468,大竹里
469,廣蓮里
470,竹門里
471,崎內里
472,昇安里
473,汴頭里
474,內角里
475,馬稠後里
476,永隆里
477,北門里
478,玉港里
479,保吉里
480,蚵寮里
481,雙春里
482,錦湖里
483,慈安里
484,三光里
485,文山里
486,秀昌里
487,明宜里
488,慈福里
489,仁得里
490,新達里
491,大灣里
492,豐和里
493,中洲里
494,宅港里
495,平和里
496,三慶里
497,水秀里
498,津城里
499,月港里
500,岸內里
501,汫水里
502,義中里
503,三明里
504,文昌里
505,歡雅里
506,竹林里
507,坔頭港里
508,忠政里
509,民權里
510,三仙里
511,永平里
512,大宏里
513,王公里
514,中營里
515,土庫里
516,興業里
517,南興里
518,民生里
519,新北里
520,新南里
521,民榮里
522,埤寮里
523,護鎮里
524,太南里
525,太北里
526,南紙里
527,嘉芳里
528,姑爺里
529,五興里
530,士林里
531,光福里
532,中埕里
533,東昇里
534,八翁里
535,人和里
536,太康里
537,重溪里
538,篤農里
539,大農里
540,神農里
541,果毅里
542,旭山里
543,東山里
544,東中里
545,東正里
546,大客里
547,三榮里
548,科里里
549,東河里
550,聖賢里
551,南溪里
552,水雲里
553,林安里
554,東原里
555,嶺南里
556,南勢里
557,青山里
558,高原里
559,長榮里
560,西甲里
561,忠嘉里
562,苓仔寮里
563,巷埔里
564,將軍里
565,玉山里
566,廣山里
567,長沙里
568,平沙里
569,鯤鯓里
570,鯤溟里
571,下營里
572,仁里里
573,宅內里
574,後街里
575,營前里
576,大吉里
577,茅營里
578,開化里
579,西連里
580,賀建里
581,紅甲里
582,六甲里
583,甲東里
584,甲南里
585,七甲里
586,二甲里
587,水林里
588,中社里
589,龜港里
590,菁埔里
591,王爺里
592,大丘里
593,後港里
594,篤加里
595,頂山里
596,西寮里
597,塩埕里
598,中寮里
599,龍山里
600,溪南里
601,七股里
602,大埕里
603,樹林里
604,竹橋里
605,義合里
606,永吉里
607,三股里
608,十份里
609,東寧里
610,忠仁里
611,鎮山里
612,安西里
613,文新里
614,建南里
615,六安里
616,佳化里
617,佳興里
618,營溪里
619,海澄里
620,塭內里
621,民安里
